source_timestamp,actual_temp,predicted_temp,predicted_for,prediction_horizon_sec,threshold,trend,trend_slope,is_anomaly,window_avg,forecast_error,forecast_mae,ingested_at
2026-05-01T06:47:19.590086,33.0,28.88,2026-05-01T06:48:19.590086,60.0,35.0,falling,-0.068662,0,33.33,1.05,1.05,2026-05-01T06:47:19.594765Z
2026-05-01T06:47:23.878481,32.91,28.21,2026-05-01T06:48:23.878481,60.0,35.0,falling,-0.078253,0,33.3,,1.05,2026-05-01T06:47:23.886378Z
2026-05-01T06:47:26.636991,32.97,26.64,2026-05-01T06:48:26.636991,60.0,35.0,falling,-0.105477,0,33.29,0.98,1.015,2026-05-01T06:47:26.642127Z
2026-05-01T06:47:29.265764,33.01,27.23,2026-05-01T06:48:29.265764,60.0,35.0,falling,-0.096286,0,33.27,0.95,0.993,2026-05-01T06:47:29.277872Z
2026-05-01T06:47:32.714976,32.55,28.05,2026-05-01T06:48:32.714976,60.0,35.0,falling,-0.074989,0,33.3,0.38,0.84,2026-05-01T06:47:33.378473Z
2026-05-01T06:47:38.247148,32.5,28.92,2026-05-01T06:48:38.247148,60.0,35.0,falling,-0.059619,0,33.32,0.21,0.714,2026-05-01T06:47:38.257859Z
2026-05-01T06:47:42.251509,32.18,28.79,2026-05-01T06:48:42.251509,60.0,35.0,falling,-0.0565,0,33.3,0.23,0.633,2026-05-01T06:47:42.257598Z
2026-05-01T06:47:46.753499,31.45,29.29,2026-05-01T06:48:46.753499,60.0,35.0,stable,-0.035924,0,33.23,1.08,0.697,2026-05-01T06:47:46.774470Z
2026-05-01T06:47:50.578592,30.75,30.06,2026-05-01T06:48:50.578592,60.0,35.0,stable,-0.011564,0,33.1,1.89,0.846,2026-05-01T06:47:50.586511Z
2026-05-01T06:47:53.554762,29.89,31.28,2026-05-01T06:48:53.554762,60.0,35.0,stable,0.023226,0,32.93,2.84,1.068,2026-05-01T06:47:53.578924Z
2026-05-01T06:47:57.370679,29.11,32.61,2026-05-01T06:48:57.370679,60.0,35.0,rising,0.058413,0,32.71,3.69,1.33,2026-05-01T06:47:57.375853Z
2026-05-01T06:48:01.988642,28.21,33.36,2026-05-01T06:49:01.988642,60.0,35.0,rising,0.085832,0,32.45,4.65,1.632,2026-05-01T06:48:02.111950Z
2026-05-01T06:48:05.753170,27.19,32.82,2026-05-01T06:49:05.753170,60.0,35.0,rising,0.093817,0,32.14,6.52,2.039,2026-05-01T06:48:05.762648Z
2026-05-01T06:48:08.785483,26.39,31.44,2026-05-01T06:49:08.785483,60.0,35.0,rising,0.084171,0,31.8,11.43,2.762,2026-05-01T06:48:08.792144Z
2026-05-01T06:48:12.690910,25.91,31.66,2026-05-01T06:49:12.690910,60.0,35.0,rising,0.095852,0,31.43,7.57,3.105,2026-05-01T06:48:12.695630Z
2026-05-01T06:48:15.813075,25.01,30.91,2026-05-01T06:49:15.813075,60.0,35.0,rising,0.098327,0,31.01,5.43,3.26,2026-05-01T06:48:15.823483Z
