source_timestamp,actual_temp,predicted_temp,predicted_for,prediction_horizon_sec,threshold,trend,trend_slope,is_anomaly,window_avg,forecast_error,forecast_mae,ingested_at
2026-05-01T02:41:21.489133,32.32,32.32,2026-05-01T02:42:21.489133,60.0,35.0,stable,0.0,0,32.32,,,2026-05-01T02:41:21.953569Z
2026-05-01T02:41:21.953646,32.22,32.22,2026-05-01T02:42:21.953646,60.0,35.0,stable,0.0,0,32.22,,,2026-05-01T02:41:22.374743Z
2026-05-01T02:41:24.902079,32.25,31.94,2026-05-01T02:42:24.902079,60.0,35.0,stable,-0.0051,0,32.07,,,2026-05-01T02:41:24.904167Z
2026-05-01T02:41:24.902876,32.73,32.27,2026-05-01T02:42:24.902876,60.0,35.0,stable,-0.00765,0,32.46,,,2026-05-01T02:41:24.968762Z
2026-05-01T02:41:24.903322,32.82,32.48,2026-05-01T02:42:24.903322,60.0,35.0,stable,-0.005667,0,32.62,,,2026-05-01T02:41:25.312863Z
2026-05-01T02:41:24.903869,32.95,32.41,2026-05-01T02:42:24.903869,60.0,35.0,stable,-0.008925,0,32.64,,,2026-05-01T02:41:25.920859Z
2026-05-01T02:41:24.905009,32.85,32.31,2026-05-01T02:42:24.905009,60.0,35.0,stable,-0.008925,0,32.53,,,2026-05-01T02:41:25.981915Z
2026-05-01T02:41:27.712396,32.46,32.02,2026-05-01T02:42:27.712396,60.0,35.0,stable,-0.00732,0,32.2,,,2026-05-01T02:41:27.713752Z
2026-05-01T02:41:27.712903,32.99,32.38,2026-05-01T02:42:27.712903,60.0,35.0,stable,-0.010155,0,32.64,,,2026-05-01T02:41:27.833321Z
2026-05-01T02:41:27.713181,33.21,32.58,2026-05-01T02:42:27.713181,60.0,35.0,stable,-0.010483,0,32.82,,,2026-05-01T02:41:27.868392Z
2026-05-01T02:41:27.713377,33.03,32.52,2026-05-01T02:42:27.713377,60.0,35.0,stable,-0.008498,0,32.77,,,2026-05-01T02:41:27.902755Z
2026-05-01T02:41:27.713632,33.34,32.46,2026-05-01T02:42:27.713632,60.0,35.0,stable,-0.014648,0,32.8,,,2026-05-01T02:41:27.937973Z
2026-05-01T02:41:31.324970,32.91,32.13,2026-05-01T02:42:31.324970,60.0,35.0,stable,-0.013036,0,32.38,,,2026-05-01T02:41:31.325972Z
2026-05-01T02:41:31.325550,33.46,32.52,2026-05-01T02:42:31.325550,60.0,35.0,stable,-0.015679,0,32.84,,,2026-05-01T02:41:32.740528Z
2026-05-01T02:41:31.325962,33.3,32.69,2026-05-01T02:42:31.325962,60.0,35.0,stable,-0.010201,0,32.94,,,2026-05-01T02:41:32.776846Z
2026-05-01T02:41:31.326258,33.29,32.63,2026-05-01T02:42:31.326258,60.0,35.0,stable,-0.010944,0,32.9,,,2026-05-01T02:41:32.810445Z
2026-05-01T02:41:31.326535,33.36,32.61,2026-05-01T02:42:31.326535,60.0,35.0,stable,-0.012574,0,32.94,,,2026-05-01T02:41:32.845008Z
2026-05-01T02:41:34.567288,33.33,32.26,2026-05-01T02:42:34.567288,60.0,35.0,stable,-0.017836,0,32.57,,,2026-05-01T02:41:34.568232Z
2026-05-01T02:41:34.567887,33.55,32.66,2026-05-01T02:42:34.567887,60.0,35.0,stable,-0.014856,0,32.98,,,2026-05-01T02:41:34.601143Z
2026-05-01T02:41:34.568195,33.72,32.81,2026-05-01T02:42:34.568195,60.0,35.0,stable,-0.015171,0,33.09,,,2026-05-01T02:41:34.636352Z
2026-05-01T02:41:34.568415,33.29,32.74,2026-05-01T02:42:34.568415,60.0,35.0,stable,-0.009231,0,32.98,,,2026-05-01T02:41:34.670291Z
2026-05-01T02:41:34.568866,33.45,32.74,2026-05-01T02:42:34.568866,60.0,35.0,stable,-0.011882,0,33.04,,,2026-05-01T02:41:34.704783Z
2026-05-01T02:41:37.487888,33.51,32.4,2026-05-01T02:42:37.487888,60.0,35.0,stable,-0.01851,0,32.72,,,2026-05-01T02:41:37.489167Z
2026-05-01T02:41:37.488774,33.83,32.8,2026-05-01T02:42:37.488774,60.0,35.0,stable,-0.017191,0,33.12,,,2026-05-01T02:41:37.616496Z
2026-05-01T02:41:37.489121,33.75,32.93,2026-05-01T02:42:37.489121,60.0,35.0,stable,-0.013703,0,33.2,,,2026-05-01T02:41:37.651739Z
2026-05-01T02:41:37.489340,33.54,32.84,2026-05-01T02:42:37.489340,60.0,35.0,stable,-0.011728,0,33.07,,,2026-05-01T02:41:37.685794Z
2026-05-01T02:41:37.489569,33.84,32.87,2026-05-01T02:42:37.489569,60.0,35.0,stable,-0.016184,0,33.18,,,2026-05-01T02:41:37.720975Z
2026-05-01T02:41:41.383282,33.81,32.54,2026-05-01T02:42:41.383282,60.0,35.0,stable,-0.021107,0,32.88,,,2026-05-01T02:41:41.386619Z
2026-05-01T02:41:41.384476,34.02,32.93,2026-05-01T02:42:41.384476,60.0,35.0,stable,-0.018086,0,33.25,,,2026-05-01T02:41:41.504337Z
2026-05-01T02:41:41.385213,33.75,33.03,2026-05-01T02:42:41.385213,60.0,35.0,stable,-0.011935,0,33.28,,,2026-05-01T02:41:41.545615Z
2026-05-01T02:41:41.385530,33.62,32.93,2026-05-01T02:42:41.385530,60.0,35.0,stable,-0.0115,0,33.15,,,2026-05-01T02:41:41.587641Z
2026-05-01T02:41:41.385772,34.02,33.0,2026-05-01T02:42:41.385772,60.0,35.0,stable,-0.017043,0,33.3,,,2026-05-01T02:41:41.627523Z
2026-05-01T02:41:45.290671,33.84,32.68,2026-05-01T02:42:45.290671,60.0,35.0,stable,-0.019325,0,33.0,,,2026-05-01T02:41:45.291536Z
2026-05-01T02:41:45.291429,33.78,33.05,2026-05-01T02:42:45.291429,60.0,35.0,stable,-0.012166,0,33.32,,,2026-05-01T02:41:45.536757Z
2026-05-01T02:41:45.291786,33.52,33.12,2026-05-01T02:42:45.291786,60.0,35.0,stable,-0.006715,0,33.31,,,2026-05-01T02:41:45.583005Z
2026-05-01T02:41:45.292036,40.35,33.27,2026-05-01T02:42:45.292036,60.0,35.0,falling,-0.118073,1,34.05,,,2026-05-01T02:41:45.627948Z
2026-05-01T02:41:45.292365,34.2,33.12,2026-05-01T02:42:45.292365,60.0,35.0,stable,-0.01798,0,33.41,,,2026-05-01T02:41:45.662664Z
2026-05-01T02:41:47.800339,33.86,32.81,2026-05-01T02:42:47.800339,60.0,35.0,stable,-0.017583,0,33.1,,,2026-05-01T02:41:47.803676Z
2026-05-01T02:41:47.802054,33.57,33.14,2026-05-01T02:42:47.802054,60.0,35.0,stable,-0.007183,0,33.35,,,2026-05-01T02:41:47.931844Z
2026-05-01T02:41:47.802415,33.59,33.18,2026-05-01T02:42:47.802415,60.0,35.0,stable,-0.006756,0,33.34,,,2026-05-01T02:41:47.968258Z
2026-05-01T02:41:47.802689,33.46,33.48,2026-05-01T02:42:47.802689,60.0,35.0,stable,0.000349,0,33.98,,,2026-05-01T02:41:48.002440Z
